region,department,health_district,match_id,match_name,fac_name_processed,fac_name_orig,group_fac_type,fac_type_orig,group_fac_own,fac_own_orig,latitude,longitude,max_gps_dist,source,data_flagged,data_notes,decision_notes,last_updated,update_notes,n_gps,n_source,source_list,fac_id,fac_id_orig,fac_id_orig_var,n_fac_type,n_fac_own,no_department,no_health_district,no_fac_type,no_fac_own,no_gps,n_geos
Dakar,Dakar,Dakar Ouest,11,abdoulaye ba,abdoulaye ba,Dr Abdoulaye BA,poste de sante,Poste de sante,prive,Prive,,,,ANSD 2017-2018,1,To confirm department and health district for the facility,Confirmed same facility (though unclear what is the correct admin2),,,0,1,ANSD 2017-2018,100411,PS,HFID2015,1,1,0,0,0,0,1,2
Dakar,Pikine,Pikine,12,abdoulaye beye,abdoulaye beye,Abdoulaye Bèye,poste de sante,Poste de sante,prive,Prive,,,,ANSD 2017-2018,,,,,,0,1,ANSD 2017-2018,100646,PS,HFID2015,1,1,0,0,0,0,1,1
Dakar,Dakar,Dakar Centre,13,abdoulaye diagne,abdoulaye diagne,Dr Abdoulaye DIAGNE,poste de sante,Poste de sante,prive,Prive,,,,ANSD 2017-2018,,,,,,0,1,ANSD 2017-2018,100047,PS,HFID2015,1,1,0,0,0,0,1,1
Dakar,Pikine,Keur Massar,14,abdoulaye ndiaye,abdoulaye ndiaye,Dr Abdoulaye NDIAYE,poste de sante,Poste de sante,prive,Prive,,,,ANSD 2017-2018,,,,,,0,1,ANSD 2017-2018,100585,PS,HFID2015,1,1,0,0,0,0,1,1
Dakar,Dakar,Dakar Ouest,15,abdoulaye sarr,abdoulaye sarr,Dr Abdoulaye SARR,poste de sante,Poste de sante,prive,Prive,,,,ANSD 2017-2018,,,,,,0,1,ANSD 2017-2018,100412,PS,HFID2015,1,1,0,0,0,0,1,1
Dakar,Dakar,Dakar Nord,16,abibatou thiam,abibatou thiam,Dr Abibatou THIAM,poste de sante,Poste de sante,prive,Prive,,,,ANSD 2017-2018,,,,,,0,1,ANSD 2017-2018,100097,PS,HFID2015,1,1,0,0,0,0,1,1
Dakar,Dakar,Dakar Centre,17,abou soufiane daffe,abou soufiane daffe,A. Soufiane Daff,centre de sante,Poste de sante,prive,Prive,,,,ANSD 2017-2018,,,Regional focal point confirmed facility type (health centre),20230520,Updated health district to Dakar Centre,1,3,ANSD 2017-2018; SPA 2017; SPA 2019,100001,,HFID2015,2,1,0,0,0,0,0,1
Dakar,Dakar,Dakar Centre,17,abou soufiane daffe,abou soufiane daffe,Dr. Abou Soufiane DAFFE,centre de sante,Poste de sante,prive,Prive,,,,ANSD 2017-2018,,,Regional focal point confirmed facility type (health centre),,,1,3,ANSD 2017-2018; SPA 2017; SPA 2019,100217,PS,HFID2015,2,1,0,0,0,0,0,1
Dakar,Dakar,Dakar Centre,17,abou soufiane daffe,abou soufiane daffe,A. Soufiane Daff,centre de sante,Hopital,prive,Prive,14.67938,-17.46191,,SPA 2017,,,Regional focal point confirmed facility type (health centre),20230520,Updated health district to Dakar Centre,1,3,ANSD 2017-2018; SPA 2017; SPA 2019,50003,50003,spafacid,2,1,0,0,0,0,0,1
Dakar,Dakar,Dakar Centre,17,abou soufiane daffe,abou soufiane daffe,A. Soufiane Daff,centre de sante,Hopital,prive,Prive,,,,SPA 2019,,,Regional focal point confirmed facility type (health centre),20230520,Updated health district to Dakar Centre,1,3,ANSD 2017-2018; SPA 2017; SPA 2019,70001,70001,spafacid,2,1,0,0,0,0,0,1
Dakar,Dakar,Dakar Centre,18,aboubacry m diallo,aboubacry m diallo,Dr Aboubacry M DIALLO,poste de sante,Poste de sante,prive,Prive,,,,ANSD 2017-2018,,,,,,0,1,ANSD 2017-2018,100048,PS,HFID2015,1,1,0,0,0,0,1,1
Dakar,Pikine,Keur Massar,19,acdev 2,acdev 2,ACDEV 2,poste de sante,Poste de sante,prive,Prive,,,,ANSD 2017-2018,,,,,,0,1,ANSD 2017-2018,100579,PS_166,HFID2015,1,1,0,0,0,0,1,1
Dakar,Dakar,Dakar Ouest,20,adam mate,adam mate,Adam Mate,poste de sante,Poste de sante,prive,Prive,,,,ANSD 2017-2018,,,,,,0,1,ANSD 2017-2018,100387,PS,HFID2015,1,1,0,0,0,0,1,1
Dakar,Dakar,Dakar Ouest,21,adama diedhiou sane,adama diedhiou sane,Adama Diédhiou SANE,poste de sante,Poste de sante,prive,Prive,,,,ANSD 2017-2018,,,,,,0,1,ANSD 2017-2018,100388,PS,HFID2015,1,1,0,0,0,0,1,1
Dakar,Dakar,Dakar Sud,22,adama gningue diop,adama gningue diop,"Dr, Adama Gningue DIOP",poste de sante,Poste de sante,prive,Prive,,,,ANSD 2017-2018,,,,,,0,1,ANSD 2017-2018,100215,PS,HFID2015,1,1,0,0,0,0,1,1
Dakar,Dakar,Dakar Ouest,23,adama mbodji,adama mbodji,Dr Adama MBODJI,poste de sante,Poste de sante,prive,Prive,,,,ANSD 2017-2018,,,,,,0,1,ANSD 2017-2018,100413,PS,HFID2015,1,1,0,0,0,0,1,1
Dakar,Dakar,Dakar Sud,24,administration penitentiaire,administration penitentiaire,ADMINISTRATION PENITENTIAIRE,poste de sante,Centre de sante,prive,Prive,,,8.83,ANSD 2017-2018,,,Regional focal point confirmed facility type (health post),,,3,6,ANSD 2017-2018; COUS; SPA 2014; SPA 2016; SPA 2017; SPA 2019,100137,CMG,HFID2015,2,3,0,0,0,0,0,1
Dakar,Dakar,Dakar Sud,24,administration penitentiaire,administration penitentiaire,Administration Penitentiaire,poste de sante,Poste de sante,publique,Publique,14.73219163,-17.45936565,8.83,COUS,,,,20230520,Updated health district to Dakar Sud,3,6,ANSD 2017-2018; COUS; SPA 2014; SPA 2016; SPA 2017; SPA 2019,120020,,,2,3,0,0,0,0,0,1
Dakar,Dakar,Dakar Sud,24,administration penitentiaire,administration penitentiaire,Administration Penitentiaire,poste de sante,Poste de sante,publique,Publique,14.65573,-17.43623,8.83,SPA 2014,,,,20230520,Updated health district to Dakar Sud,3,6,ANSD 2017-2018; COUS; SPA 2014; SPA 2016; SPA 2017; SPA 2019,20120,20120,spafacid,2,3,0,0,0,0,0,1
Dakar,Dakar,Dakar Sud,24,administration penitentiaire,administration penitentiaire,Administration Penitentiaire,poste de sante,Poste de sante,ong ou mission/confessionnel,ONG ou mission/confessionnel,14.65573,-17.43623,8.83,SPA 2016,,,,20230520,Updated health district to Dakar Sud,3,6,ANSD 2017-2018; COUS; SPA 2014; SPA 2016; SPA 2017; SPA 2019,40117,40117,,2,3,0,0,0,0,0,1
Dakar,Dakar,Dakar Sud,24,administration penitentiaire,administration penitentiaire,Administration Penitentiaire,poste de sante,Centre de sante,ong ou mission/confessionnel,ONG ou mission/confessionnel,14.6556,-17.43624,8.83,SPA 2017,,,Regional focal point confirmed facility type (health post),,,3,6,ANSD 2017-2018; COUS; SPA 2014; SPA 2016; SPA 2017; SPA 2019,50045,50045,spafacid,2,3,0,0,0,0,0,1
Dakar,Dakar,Dakar Sud,24,administration penitentiaire,administration penitentiaire,Administration Penitentiaire,poste de sante,Centre de sante,ong ou mission/confessionnel,ONG ou mission/confessionnel,,,8.83,SPA 2019,1,To confirm department and health district for the facility,Regional focal point confirmed facility type (health post),,,3,6,ANSD 2017-2018; COUS; SPA 2014; SPA 2016; SPA 2017; SPA 2019,70045,70045,spafacid,2,3,0,0,0,0,0,1
Dakar,Dakar,Dakar Centre,25,ahmadou moustapha sow diabetologue,ahmadou moustapha sow diabetologue,AHMADOU MOUSTAPHA SOW DIABETOLOGUE,poste de sante,Poste de sante,prive,Prive,,,,ANSD 2017-2018,,,,,,0,1,ANSD 2017-2018,100004,PS_34,HFID2015,1,1,0,0,0,0,1,1
Dakar,Pikine,Mbao,26,aida ndaw,aida ndaw,Dr Aida NDAW,poste de sante,Poste de sante,prive,Prive,,,,ANSD 2017-2018,,,Assuming duplicate status,,,0,1,ANSD 2017-2018,100613,PS,HFID2015,1,1,0,0,0,0,1,1
Dakar,Pikine,Mbao,26,aida ndaw,aida ndaw,Dr. Aida NDAW,poste de sante,Poste de sante,prive,Prive,,,,ANSD 2017-2018,,,Assuming duplicate status,,,0,1,ANSD 2017-2018,100621,PS,HFID2015,1,1,0,0,0,0,1,1
Dakar,Pikine,Keur Massar,27,ainoumady keur massar,ainoumady keur massar,AINOUMADY KEUR MASSAR,poste de sante,Poste de sante,publique,Publique,,,,ANSD 2017-2018,,,,,,1,3,ANSD 2017-2018; MOH; Maina et. al (2019),100580,PS_159,HFID2015,2,2,0,0,0,0,0,1
Dakar,Pikine,Keur Massar,27,ainoumady keur massar,ainoumady keur massar,PS Ainoumady,poste de sante,Poste de sante,publique,,,,,MOH,,,,,,1,3,ANSD 2017-2018; MOH; Maina et. al (2019),170253,,,2,2,0,0,0,0,0,1
Dakar,Pikine,Keur Massar,27,ainoumady keur massar,ainoumady keur massar,Ainoumady Keur Massar Poste de Santé,poste de sante,Poste de Sante,publique,Publique,14.7755,-17.3123,,Maina et. al (2019),,,,,,1,3,ANSD 2017-2018; MOH; Maina et. al (2019),130002,,,2,2,0,0,0,0,0,1
Dakar,Pikine,Keur Massar,28,ainoumady sotrac,ainoumady sotrac,Poste de Ainoumady Sotrac,poste de sante,Poste de sante,publique,Publique,14.78664173,-17.35112085,,COUS,,,,,,1,1,COUS,120112,,,1,1,0,0,0,0,0,1
Dakar,Dakar,Dakar Sud,29,aissatou bacar gueye,aissatou bacar gueye,Dr Aïssatou Bacar GUEYE,poste de sante,Poste de sante,prive,Prive,,,,ANSD 2017-2018,,,,,,0,1,ANSD 2017-2018,100204,PS,HFID2015,1,1,0,0,0,0,1,1
Dakar,Dakar,Dakar Ouest,30,akouavi vicke akakpo,akouavi vicke akakpo,Dr Akouavi VICKE AKAKPO,poste de sante,Poste de sante,prive,Prive,,,,ANSD 2017-2018,,,,,,0,1,ANSD 2017-2018,100414,PS,HFID2015,1,1,0,0,0,0,1,1
Dakar,Dakar,Dakar Sud,31,al falah,al falah,CMS de  AL FALAH,poste de sante,Poste de sante,prive,Prive,,,0.33,ANSD 2017-2018,,,,,,3,6,ANSD 2017-2018; COUS; HDX; SPA 2014; SPA 2016; SPA 2018,100184,PS_70,HFID2015,2,4,0,0,0,0,0,1
Dakar,Dakar,Dakar Sud,31,al falah,al falah,AL FALAH,poste de sante,Poste de sante,prive,Prive laic,14.6958031,-17.4437667,0.33,COUS,,,,,,3,6,ANSD 2017-2018; COUS; HDX; SPA 2014; SPA 2016; SPA 2018,120058,,,2,4,0,0,0,0,0,1
Dakar,Dakar,Dakar Sud,31,al falah,al falah,Al Falah,poste de sante,Clinique,prive,,14.69771285,-17.4460151,0.33,HDX,,,Regional focal point confirmed facility type (health post),,,3,6,ANSD 2017-2018; COUS; HDX; SPA 2014; SPA 2016; SPA 2018,140115,5114684322,osm_id,2,4,0,0,0,0,0,1
Dakar,Dakar,Dakar Sud,31,al falah,al falah,Ps Al Falah,poste de sante,Poste de sante,ong ou mission/confessionnel,ONG ou mission/confessionnel,14.69585,-17.44367,0.33,SPA 2014,,,,,,3,6,ANSD 2017-2018; COUS; HDX; SPA 2014; SPA 2016; SPA 2018,20121,20121,spafacid,2,4,0,0,0,0,0,1
Dakar,Dakar,Dakar Sud,31,al falah,al falah,Ps Al Falah,poste de sante,Poste de sante,ong ou mission/confessionnel,ONG ou mission/confessionnel,14.69585,-17.44367,0.33,SPA 2016,,,,,,3,6,ANSD 2017-2018; COUS; HDX; SPA 2014; SPA 2016; SPA 2018,40118,40118,,2,4,0,0,0,0,0,1
Dakar,Dakar,Dakar Sud,31,al falah,al falah,Ps Al Falah,poste de sante,Poste de sante,prive,Prive,,,0.33,SPA 2018,,,,,,3,6,ANSD 2017-2018; COUS; HDX; SPA 2014; SPA 2016; SPA 2018,60115,60115,spafacid,2,4,0,0,0,0,0,1
Dakar,Pikine,Pikine,32,al hassane wele,al hassane wele,Al Hassane Wélé,poste de sante,Poste de sante,prive,Prive,,,,ANSD 2017-2018,,,,,,0,1,ANSD 2017-2018,100647,PS,HFID2015,1,1,0,0,0,0,1,1
Dakar,Pikine,Keur Massar,33,aladji pathe,aladji pathe,PS MUNICIPAL ALADJI PATHE,poste de sante,Poste de sante,publique,Publique,,,,ANSD 2017-2018,,,,,,1,3,ANSD 2017-2018; COUS; MOH,100601,PS,HFID2015,1,2,0,0,0,0,0,1
Dakar,Pikine,Keur Massar,33,aladji pathe,aladji pathe,Poste de Alhadj Pathe,poste de sante,Poste de sante,publique,Publique,14.77470077,-17.30000421,,COUS,,,,,,1,3,ANSD 2017-2018; COUS; MOH,120113,,,1,2,0,0,0,0,0,1
Dakar,Pikine,Keur Massar,33,aladji pathe,aladji pathe,PS EL hadji pathé,poste de sante,Poste de sante,publique,,,,,MOH,,,,,,1,3,ANSD 2017-2018; COUS; MOH,170251,,,1,2,0,0,0,0,0,1
Dakar,Rufisque,Rufisque,34,alassane gueye,alassane gueye,Alassane Gueye,poste de sante,Poste de sante,prive,Prive,,,,ANSD 2017-2018,,,,,,0,1,ANSD 2017-2018,100701,PS,HFID2015,1,1,0,0,0,0,1,1
Dakar,Guediawaye,Guediawaye,35,alassane mbaye,alassane mbaye,Alassane Mbaye,poste de sante,Poste de sante,prive,Prive,,,,ANSD 2017-2018,,,,,,0,1,ANSD 2017-2018,100538,PS,HFID2015,1,1,0,0,0,0,1,1
Dakar,Dakar,Dakar Centre,36,alfousseyni gaye,alfousseyni gaye,Alfousseyni Gaye,poste de sante,Poste de sante,prive,Prive,,,,ANSD 2017-2018,,,,,,0,1,ANSD 2017-2018,100005,,HFID2015,1,1,0,0,0,0,1,1
Dakar,Dakar,Dakar Sud,37,ali tageddine,ali tageddine,Ali Tageddine,poste de sante,Poste de sante,prive,Prive,,,,ANSD 2017-2018,,,,,,0,1,ANSD 2017-2018,100138,PS,HFID2015,1,1,0,0,0,0,1,1
Dakar,Dakar,Dakar Sud,38,ali zayat,ali zayat,Dr Ali ZAYAT,poste de sante,Poste de sante,prive,Prive,,,,ANSD 2017-2018,,,,,,0,1,ANSD 2017-2018,100205,PS,HFID2015,1,1,0,0,0,0,1,1
Dakar,Dakar,Dakar Ouest,39,aliou alassane ngaide,aliou alassane ngaide,Aliou Alassane NGAIDE,poste de sante,Poste de sante,prive,Prive,,,,ANSD 2017-2018,,,,,,0,1,ANSD 2017-2018,100389,PS,HFID2015,1,1,0,0,0,0,1,1
Dakar,Dakar,Dakar Ouest,40,aliou dieng,aliou dieng,Dr. Aliou DIENG,poste de sante,Poste de sante,prive,Prive,,,,ANSD 2017-2018,,,,,,0,1,ANSD 2017-2018,100453,PS,HFID2015,1,1,0,0,0,0,1,1
Dakar,Dakar,Dakar Sud,41,aliou kebe,aliou kebe,Aliou Kébé,poste de sante,Poste de sante,prive,Prive,,,,ANSD 2017-2018,,,,,,0,1,ANSD 2017-2018,100139,PS,HFID2015,1,1,0,0,0,0,1,1
Dakar,Dakar,Dakar Centre,42,alioune blondin diop,alioune blondin diop,Dr Alioune Blondin DIOP,poste de sante,Poste de sante,prive,Prive,,,,ANSD 2017-2018,,,,,,1,2,ANSD 2017-2018; HDX,100049,PS,HFID2015,2,2,0,0,0,0,0,1
Dakar,Dakar,Dakar Centre,42,alioune blondin diop,alioune blondin diop,Cabinet Médical Dr Aliou Blondin Diop,poste de sante,doctors,prive,,14.7075828,-17.45949178,,HDX,,,Matched to Alioune Blondin Diop,,,1,2,ANSD 2017-2018; HDX,140346,3195358339,osm_id,2,2,0,0,0,0,0,1
Dakar,Pikine,Pikine,43,alioune gaye,alioune gaye,Dr Alioune GAYE,poste de sante,Poste de sante,prive,Prive,,,,ANSD 2017-2018,,,,,,0,1,ANSD 2017-2018,100669,PS,HFID2015,1,1,0,0,0,0,1,1
Dakar,Guediawaye,Guediawaye,44,alioune mbengue,alioune mbengue,Alioune Mbengue,poste de sante,Poste de sante,prive,Prive,,,,ANSD 2017-2018,,,,,,0,1,ANSD 2017-2018,100539,PS,HFID2015,1,1,0,0,0,0,1,1
Dakar,Dakar,Dakar Centre,45,alioune seck,alioune seck,Alioune Seck,poste de sante,Poste de sante,prive,Prive,,,,ANSD 2017-2018,,,,,,0,1,ANSD 2017-2018,100006,,HFID2015,1,1,0,0,0,0,1,1
Dakar,Dakar,Dakar Nord,46,allassane nakoulima,allassane nakoulima,Dr Allassane NAKOULIMA,poste de sante,Poste de sante,prive,Prive,,,,ANSD 2017-2018,,,,,,0,1,ANSD 2017-2018,100098,PS,HFID2015,1,1,0,0,0,0,1,1
Dakar,Dakar,Dakar Sud,47,almamy ly babal,almamy ly babal,Almamy Ly Babal,poste de sante,Poste de sante,prive,Prive,,,,ANSD 2017-2018,,,,,,0,1,ANSD 2017-2018,100140,PS,HFID2015,1,1,0,0,0,0,1,1
Dakar,Guediawaye,Guediawaye,48,alpha boubacar sy,alpha boubacar sy,Alpha Boubacar Sy,poste de sante,Poste de sante,prive,Prive,,,,ANSD 2017-2018,,,,,,0,1,ANSD 2017-2018,100540,PS,HFID2015,1,1,0,0,0,0,1,1
Dakar,Dakar,Dakar Sud,49,aly hojeige,aly hojeige,CABINET DU DOCTEUR ALY HOJEIGE,poste de sante,Poste de sante,prive,Prive,,,,ANSD 2017-2018,,,Assuming duplicate status,,,0,2,ANSD 2017-2018; SPA 2018,100166,PS_89,HFID2015,1,1,0,0,0,0,1,1
Dakar,Dakar,Dakar Sud,49,aly hojeige,aly hojeige,Dr Aly HOJEIGE,poste de sante,Poste de sante,prive,Prive,,,,ANSD 2017-2018,,,Assuming duplicate status,,,0,2,ANSD 2017-2018; SPA 2018,100206,PS,HFID2015,1,1,0,0,0,0,1,1
Dakar,Dakar,Dakar Sud,49,aly hojeige,aly hojeige,Dr Aly Hojeige,poste de sante,Poste de sante,prive,Prive,,,,SPA 2018,,,,,,0,2,ANSD 2017-2018; SPA 2018,60116,60116,spafacid,1,1,0,0,0,0,1,1
Dakar,Dakar,Dakar Sud,50,aly ngom,aly ngom,Aly Ngom,poste de sante,Poste de sante,prive,Prive,,,,ANSD 2017-2018,,,,,,0,1,ANSD 2017-2018,100141,PS,HFID2015,1,1,0,0,0,0,1,1
Dakar,Pikine,Pikine,51,aly wazni,aly wazni,Aly Wazni,poste de sante,Poste de sante,prive,Prive,,,,ANSD 2017-2018,,,,,,0,1,ANSD 2017-2018,100648,PS,HFID2015,1,1,0,0,0,0,1,1
Dakar,Dakar,Dakar Ouest,52,amadou bamba diouf,amadou bamba diouf,Dr Amadou Bamba DIOUF,poste de sante,Poste de sante,prive,Prive,,,,ANSD 2017-2018,1,To confirm department and health district for the facility,Confirmed the same facility but unclear on what admin2 is correct,,,0,1,ANSD 2017-2018,100415,PS,HFID2015,1,1,0,0,0,0,1,2
Dakar,Pikine,Mbao,52,amadou bamba diouf,amadou bamba diouf,Dr Amadou Bamba DIOUF,poste de sante,Poste de sante,prive,Prive,,,,ANSD 2017-2018,1,To confirm department and health district for the facility,Confirmed the same facility but unclear on what admin2 is correct,,,0,1,ANSD 2017-2018,100614,PS,HFID2015,1,1,0,0,0,0,1,2
Dakar,Dakar,Dakar Sud,53,amadou daouda fall,amadou daouda fall,Amadou Daouda Fall,poste de sante,Poste de sante,prive,Prive,,,,ANSD 2017-2018,,,,,,0,1,ANSD 2017-2018,100142,PS,HFID2015,1,1,0,0,0,0,1,1
Dakar,Dakar,Dakar Nord,54,amadou diallo,amadou diallo,Amadou Diallo,poste de sante,Poste de sante,prive,Prive,,,,ANSD 2017-2018,,,Assuming duplicate status,,,0,1,ANSD 2017-2018,100080,PS,HFID2015,1,1,0,0,0,0,1,1
Dakar,Dakar,Dakar Nord,54,amadou diallo,amadou diallo,Dr. Amadou DIALLO,poste de sante,Poste de sante,prive,Prive,,,,ANSD 2017-2018,,,Assuming duplicate status,,,0,1,ANSD 2017-2018,100104,PS,HFID2015,1,1,0,0,0,0,1,1
Dakar,Dakar,Dakar Sud,55,amadou diaw,amadou diaw,Cabinet Medical Dr Amadou Diaw,poste de sante,doctors,prive,,14.66663904,-17.43369027,,HDX,,,,20230520,Updated health district to Dakar Sud,1,2,HDX; SPA 2019,140659,6544348985,osm_id,2,2,0,1,0,0,0,1
Dakar,Dakar,Dakar Sud,55,amadou diaw,amadou diaw,Amadou Diaw,poste de sante,Poste de sante,prive,Prive,,,,SPA 2019,,,,20230520,Updated health district to Dakar Sud,1,2,HDX; SPA 2019,70113,70113,spafacid,2,2,0,1,0,0,0,1
Dakar,Rufisque,Diamniadio,56,amadou gueye diouf,amadou gueye diouf,Amadou Gueye Diouf,poste de sante,Poste de sante,prive,Prive,,,,ANSD 2017-2018,,,,,,0,1,ANSD 2017-2018,100517,PS,HFID2015,1,1,0,0,0,0,1,1
